date_modified, name, path, meta_title, meta_description, meta_keywords, hero_heading, hero_supporting_text, top_area_headline, top_area_supporting_text, main_area_headline, main_area_body_text,solar_resources,solar_incentives_copy 
8/13/2013 16:11,Gilbert Arizona Solar,/solar-by-state/az/gilbert-arizona-solar,"Gilbert, AZ Solar Power Installation Company","One of the fastest growing communities in the U.S., Gilbert is a great place to look into solar power and lock in electric costs with Sunrun.","gilbert arizona solar, gilbert az solar, gilbert arizona solar systems",Every day is a solar sun day in Gilbert.,Find out how 300 days of sunshine each year can lower your electric bills.,"Home solar power in Gilbert, Arizona","With lots of sun and high power rates, Gilbert, Arizona is a great place to go solar.  With solar, you can lock in your electricity costs and protect yourself from future rate increases.","Bill & Julie's Gilbert, AZ Solar Story","<p>Sunrun was able to offer Bill and his wife Julie a $0 upfront solar lease, making their solar dream a reality.</p>
<p>Ever since Bill started keeping up with NASA's solar-powered satellites and space station, he kept his eye on photovoltaic technology. Now, Bill sees solar in action on roofs, parking garages, and streetlights all through his neighborhood. ""Living life, I've become aware of solar power,"" said Bill, ""Solar has been around for a long time.""</p>
<p>Life in the sunbelt made Bill to think even more about solar energy. Everywhere he looked, he found new solar panel companies sprouting up and new media articles about solar power in his city.</p>
<p>When Bill's neighbors across the street started investigating home solar options, he paid attention. They purchased their solar panels and shared their utility bill savings with Bill. Bill and Julie were impressed but were discouraged by the high upfront cost of purchasing a solar system. ""I didn't have $50,000 as an outlay, so I forgot about it,"" Bill explained.</p>
<p>Then Bill learned about Sunrun solar leasing. With a Sunrun solar lease, Bill and Julie were able to get started with solar power for $0. Sunrun purchased the system, and all they had to do was pay monthly for their solar electricity. Finally, after years of waiting, Bill brought the power of the sun from the depths of outer space to the comfort of his Arizona home.</p>","<a href=""http://www.arizonasolarenergy.org/"">AZ Solar Energy Association</a>
<a href=""http://www.azsolarcenter.org/"">AZ Solar Center</a>
<a href=""http://www.azenergy.gov/Renewable/Default.aspx"">AZ Energy Office</a>
<a href=""https://www.uesaz.com/renewable/home/pv/"">UES Residential Electric Home Programs</a>","Arizona solar incentives are available to homeowners who install photovoltaic systems. However, the funding for these incentives are quickly depleting. Now is the best time to take advantage of the existing incentives and upgrade to home solar. Many Arizona solar rebates are administered by individual utility companies. See if Sunrun works with my AZ utility."
8/11/2013 21:27,Glendale Arizona Solar,/solar-by-state/az/glendale-arizona-solar,"Glendale, AZ Solar Company","With much sun and great government rebates, Glendale is a great place for solar. Homeowners can save on their bills and produce clean power with Sunrun.","glendale az solar, solar in glendale az, glendale solar panel company",The future is bright in Glendale for solar savings. ,Find out how 300 days of sunshine each year can lower your electric bills.,"Home solar in Glendale, Arizona","With state incentives and plenty of sunshine, Glendale, AZ is leading the way in solar power. If you're a Glendale, Arizona homeowner, it's time to put your roof to work. With lots of sunshine, Glendale is a great city for solar power. Getting solar panels makes financial sense in Glendale - residents currently pay a lot for their power. But turning off the air conditioning simply isn't an option in the Glendale heat. Going solar can help you keep cool and control your electric bill at the same time.
",Bjorn's Story,"<p><span>Bjorn considers most Germans ""tree-huggers"" – always worrying about their forests. Born and bred in Germany, Bjorn considers himself no exception. He had always been interested in sustainability because that's how he had been educated and brought up. Now, in Glendale, Arizona, Bjorn began to think more seriously about the sustainability of his future. With a daughter at home, he knew he wanted to do something that would help make her life liveable, save energy, and keep the air clean for the next generation.</span></p>
<p><span> He started searching online for photovoltaic options for his home. He discovered Sunrun and decided to investigate even further. Bjorn decided to ask a friend who was in the solar business in Germany to look into Sunrun's home solar equipment. His friend was impressed and told Bjorn that Sunrun's equipment was exactly what he himself would have recommended. That sealed the deal for Bjorn; quality mattered. For little to no cost, Bjorn was able to switch to solar power and start saving immediately. He's ecstatic about his bills and checks his production online regularly to see how much carbon dioxide he's offset.</span></p>","<a href=""http://www.arizonasolarenergy.org/"">AZ Solar Energy Association</a>
<a href=""http://www.azsolarcenter.org/"">AZ Solar Center</a>
<a href=""http://www.azenergy.gov/Renewable/Default.aspx"">AZ Energy Office</a>
<a href=""https://www.uesaz.com/renewable/home/pv/"">UES Residential Electric Home Programs</a>","Arizona solar incentives are available to homeowners who install photovoltaic systems. However, the funding for these incentives are quickly depleting. Now is the best time to take advantage of the existing incentives and upgrade to home solar. Many Arizona solar rebates are administered by individual utility companies. See if Sunrun works with my AZ utility."
8/11/2013 21:27,Goodyear Arizona Solar,/solar-by-state/az/goodyear-arizona-solar,"Goodyear, AZ Solar Power Company","With over 320 sunny days per year, Goodyear is one of the best places to go solar. With Sunrun, it's easy and affordable to switch.","goodyear az solar, solar in goodyear az, ",Put that Goodyear sun to good use. Go solar.,Find out how 300 days of sunshine each year can lower your electric bills.,"Home solar in Goodyear, Arizona","Goodyear, Arizona is one of the best cities for home solar power. Home to local solar installation companies and panel producers, Goodyear actively supports Arizona's goals for solar power and clean energy. By upgrading their homes to solar, homeowners can save money on their bills, control electric rates, and support local jobs.",Bill's Story,"<div class=""contact_form"">
<p id=""cleantext"">Clean, alternative energy meant a lot to Bill. He had been interested in alternative energy since early childhood. Memories of visiting Holland and images of windmills lining the coast have figured in his mind for years. When he was stationed in Germany with the Luke Air Force, he would frequently vacation in Holland and would be reminded again of his childhood memories of clean energy, seeing the wind turbines line the beautiful coast.</p>
<p>His passion for clean energy was affirmed when he was sent to fight in Operation Desert Storm, he told us. Memories returned, but this time, haunting, as he recalls how dark the skies were during the war; he can still see the oil rigs burning in the distance. There was so much oil in the sky, Bill noted.</p>
<p>The Air Force then moved him to Arizona, a great state for solar, where he lives today in Goodyear. Bill retired from the Air Force in 2001, but the thoughts of solar only grew stronger as he realized how much sun Goodyear, Arizona received. For Bill, the stars were aligned for Goodyear, Arizona solar. Bill believed it “made sense to reduce the consumption of fossil fuels and keep carbon underground where it’s supposed to be” and that solar technology was in the right place at the right time.</p>
<p>Furthermore, years of service had instilled in Bill a commitment to duty. Although he had completed his military duty, he holds fast to what he believes are his civic duties. “Even though your civic duty is to go to the polls and vote, you have a daily duty to vote with your dollars,” Bill explained. Bill decided to go solar in Goodyear, Arizona with Sunrun and vote with his dollars…without putting any of those dollars upfront. Owning a Goodyear solar home with Sunrun proved a win-win: Bill feels better about where he’s getting his energy and no money was taken out of his pocket. And best of all, he feels prepared. Though he admits he does not have a crystal ball, he has a sneaking suspicion that his utility will keep raising the cost of power over time and when they do? He will be prepared.</p>
 </div>","<a href=""http://www.arizonasolarenergy.org/"">AZ Solar Energy Association</a>
<a href=""http://www.azsolarcenter.org/"">AZ Solar Center</a>
<a href=""http://www.azenergy.gov/Renewable/Default.aspx"">AZ Energy Office</a>
<a href=""https://www.uesaz.com/renewable/home/pv/"">UES Residential Electric Home Programs</a>","Arizona solar incentives are available to homeowners who install photovoltaic systems. However, the funding for these incentives are quickly depleting. Now is the best time to take advantage of the existing incentives and upgrade to home solar. Many Arizona solar rebates are administered by individual utility companies. See if Sunrun works with my AZ utility."
8/13/2013 16:21,Peoria Arizona Solar,/solar-by-state/az/peoria-arizona-solar,"Peoria, AZ Solar Company","Enjoying sunshine almost year-round, Peoria is one of the best cities in which to go solar. With Sunrun, it's easy and affordable to switch.","peoria az solar, solar in peoria, az",Things are looking bright for going solar in Peoria. ,Find out how 300 days of sunshine each year can lower your electric bills.,"Home solar in Peoria, Arizona","Electric rates can get volatile in Peoria, AZ. Switching to residential solar power is one of the best ways to get control of your electric bill and avoid unpredictable rate hikes. ","Jeff & Diane's Peoria, AZ Solar Story","<p>With their air conditioning bills climbing through the roof, Jeff &amp; Diane decided to go solar. </p>
<p>As Arizona residents for over 25 years, Jeff and Diane had three grown children and two wonderful grandchildren, whom they watched nearly every day -- including on the hottest of Arizona days. They wanted to keep their home cool and comfortable for their family and ran their two air conditioners full-force throughout the day. Soon enough, their APS electric bills started piling up. Jeff knew something had to be done about their high bills.</p>
<p>Jeff knew that solar panels were an option, but he didn't know where to even begin to start. Luckily for him, his son was well-versed in solar power. Jeff's son had done plenty of research and was already a Sunrun customer. He was powering his home with clean, affordable solar energy, and saving money along the way.</p>
<p>After speaking to their son, Jeff and Diane decided to make the switch to solar power with a Sunrun solar lease. With Sunrun, they were able to go solar for $0 upfront and simply pay monthly for their solar electricity. With Sunrun Solar Service, Jeff and Diane enjoy free system monitoring, repairs, and insurance, so they don't have to waste any time worrying about their panels. Instead, they spend their extra time and peace of mind with their family.</p>","<a href=""http://www.arizonasolarenergy.org/"">AZ Solar Energy Association</a>
<a href=""http://www.azsolarcenter.org/"">AZ Solar Center</a>
<a href=""http://www.azenergy.gov/Renewable/Default.aspx"">AZ Energy Office</a>
<a href=""https://www.uesaz.com/renewable/home/pv/"">UES Residential Electric Home Programs</a>","Arizona solar incentives are available to homeowners who install photovoltaic systems. However, the funding for these incentives are quickly depleting. Now is the best time to take advantage of the existing incentives and upgrade to home solar. Many Arizona solar rebates are administered by individual utility companies. See if Sunrun works with my AZ utility."
3/18/2015 4:30,Phoenix Arizona Solar,/solar-by-state/az/phoenix-arizona-solar,"Phoenix, AZ Solar Company","With over 300 days of sun, going solar in Phoenix is a great idea. Sunrun lets you lock in low rates for your Phoenix solar energy.","solar systems phoenix, phoenix arizona solar, phoenix az solar, northern arizona solar",More sun in Phoenix means more solar savings.,Find out how 300 days of sunshine each year can lower your electric bills.,"Home solar in Phoenix, Arizona","With over 300 days of sunshine, Phoenix is one of the best places for solar energy. Known as ""The Valley of the Sun,"" Phoenix has one of the fastest growing solar energy markets in the United States. This is good news for homeowners who are looking to control their rising electric costs. Installing home solar panels is a great way to lock in today's energy rates and start saving money on your power bill.",Jeff's Story,"<p>For 40 years Jeff has called Phoenix home and watched his utilities jump in price every year. Jeff first considered home solar in Phoenix after discovering that his employers at Costco in Phoenix were considering getting solar for their store. He soon learned of all of the benefits of powering his home with renewable energy.</p>
<p>After researching Phoenix’s photovoltaic options, Jeff found Sunrun the most appealing because of <a title=""Lock in Savings"" href=""{CCM:CID_170}"">Sunrun solar lease</a>. Jeff also loves the fact that he doesn’t have to worry if his system needs repair because Sunrun takes care of the costs. Since installing Sunrun’s home solar panels, Jeff has already seen a significant reduction in his utility bills and looks forward to avoiding Phoenix’s utility inflation rates for the next twenty years.</p>","<a href=""http://www.arizonasolarenergy.org/"">AZ Solar Energy Association</a>
<a href=""http://www.azsolarcenter.org/"">AZ Solar Center</a>
<a href=""http://www.azenergy.gov/Renewable/Default.aspx"">AZ Energy Office</a>
<a href=""https://www.uesaz.com/renewable/home/pv/"">UES Residential Electric Home Programs</a>","Arizona solar incentives are available to homeowners who install photovoltaic systems. However, the funding for these incentives are quickly depleting. Now is the best time to take advantage of the existing incentives and upgrade to home solar. Many Arizona solar rebates are administered by individual utility companies. See if Sunrun works with my AZ utility."
8/11/2013 21:28,Queen Creek Arizona Solar,/solar-by-state/az/queen-creek-arizona-solar,"Queen Creek, AZ Solar Company","With 330 days of sunshine a year, Queen Creek is one of the best places to harness the sun's energy to power your home. With Sunrun it's easy and affordable to get started.","queen creek az solar, solar in queen creek az",Sunshine is one of the bright spots in Queen Creek. ,Find out how 300 days of sunshine each year can lower your electric bills.,"Home solar in Queen Creek, Arizona","Homeowners in Queen Creen, AZ are turning their sunny rooftops to solar energy for their homes. With over 330 days of sunshine per year, Queen Creek is one of the best cities for solar power. Queen Creek, AZ has high intensity sun, rising utility rates, and rebate programs that make going solar make sense. By getting solar panels for your home, you can take control of your electric rate and save thousands on your electric bill over time.",Richard Henry's Story,"<p><span>Father of nine, Richard Henry became interested in home solar after attending an electric car club meeting on Queen Creek solar options. Queen Creek's solar potential was very high, Richard realized, as he recounted the bounty of sunny Arizona days. Shortly after, his family invested in a home solar hot water system that reduced their utility bill by $100. But that wasn’t enough, Richard Henry decided. There was still room to improve their energy usage and generation with a solar electric system. </span></p>
<p><span>Richard Henry decided to get home solar in Queen Creek with Sunrun because when the stock market went down, it no longer made sense to purchase an entire residential photovoltaic system, especially when you can lease home solar panels through Sunrun. </span></p>
<p><span>By signing up for Sunrun, Richard Henry and his family are saving money and powering their home with clean, affordable home solar electricity.</span></p>","<a href=""http://www.arizonasolarenergy.org/"">AZ Solar Energy Association</a>
<a href=""http://www.azsolarcenter.org/"">AZ Solar Center</a>
<a href=""http://www.azenergy.gov/Renewable/Default.aspx"">AZ Energy Office</a>
<a href=""https://www.uesaz.com/renewable/home/pv/"">UES Residential Electric Home Programs</a>","Arizona solar incentives are available to homeowners who install photovoltaic systems. However, the funding for these incentives are quickly depleting. Now is the best time to take advantage of the existing incentives and upgrade to home solar. Many Arizona solar rebates are administered by individual utility companies. See if Sunrun works with my AZ utility."
7/8/2014 20:49,Scottsdale Arizona Solar,/solar-by-state/az/scottsdale-arizona-solar,"Scottsdale, AZ Solar Power Company","With 300 days of sun, Scottsdale is one of the best places to look into solar. With Sunrun, going solar is affordable and easy.","scottsdale solar, solar scottsdale, solar in scottsdale, solar systems scottsdale",Things are looking bright for solar in Scottsdale.,Find out how 300 days of sunshine each year can lower your electric bills.,"Home solar in Scottsdale, Arizona","Sunny and warm, Scottsdale is a great city for home solar power.  With utility rates on the rise across the country, installing solar panels is one of the smartest ways to take control of your electric bill in Scottsdale.  ",Matt's Story,"<div class=""contact_form"">
<div id=""cleantext"">
<p>By going solar with Sunrun, Matt was able to leverage the power of the hot Arizona sun and save money. An Arizona resident for over thirty years, Matt wanted a way to take advantage of Arizona’s hot summer sun. Given the amount of sunshine in Scottsdale, solar with Sunrun was the perfect option.</p>
<p>Matt had always been interested in renewable energy and was intrigued by the idea of being energy independent, saving money, and leveraging the power of the sun. Watching the number of solar residences grow is important to him – on hikes, Matt regularly counts the number of Scottsdale solar homes he can see in the distance.</p>
<p>Since he was in the middle of renovating his entire house, Matt considered installing the photovoltaic panels himself. He was about to get married and thought about making it a home improvement project before he tied the knot. But, he didn’t want to deal with the rebates himself. It was confusing, even as a lawyer.</p>
<p>With Sunrun handling the rebates, getting <a title=""Home"" href=""{CCM:BASE_URL}/"">home solar</a>  was a no-brainer.</p>
</div>
</div>","<a href=""http://www.arizonasolarenergy.org/"">AZ Solar Energy Association</a>
<a href=""http://www.azsolarcenter.org/"">AZ Solar Center</a>
<a href=""http://www.azenergy.gov/Renewable/Default.aspx"">AZ Energy Office</a>
<a href=""https://www.uesaz.com/renewable/home/pv/"">UES Residential Electric Home Programs</a>","Arizona solar incentives are available to homeowners who install photovoltaic systems. However, the funding for these incentives are quickly depleting. Now is the best time to take advantage of the existing incentives and upgrade to home solar. Many Arizona solar rebates are administered by individual utility companies. See if Sunrun works with my AZ utility."
8/11/2013 21:24,Surprise Arizona Solar,/solar-by-state/az/surprise-arizona-solar,"Surprise, AZ Solar Company","With more sunshine than any other state, Surprise, AZ is a great city for solar power. With Sunrun, you can lock in low rates for your electricity.","surprise az solar, solar in surprise az",Solar savings in sunny Surprise isn’t too surprising.,Find out how 300 days of sunshine each year can lower your electric bills.,"Home solar in Surprise, Arizona","With utility companies raising prices at any time, electric rates can be unpredictable. That's why more and more Arizona homeowners are turning to solar energy to power their homes. With solar panels for your home, you can take control of your electricity and your electric bill. And with the amount of sun Surprise, Arizona receives, going solar has never made more sense.",Gary's Story,"<p><span>If there was anything Gary was sure about, it was deciding to go solar in Surprise, AZ. With a background in engineering and real estate, he knew that residential solar technology was sound and that solar panels would improve his home value. In his last home, he was the proud owner of a solar greenhouse. </span></p>
<p><span>Now, Gary lives in Arizona where there's lots of wonderful sunshine, but also a lot of energy consumption, due to the high heat. He knew that renewable energy would help address both of these issues, along with making a significant difference in the environment. </span></p>
<p><span>Gary made sure he did his research - he went on a tour of solar homes in Phoenix and listened to presentations by <a title=""Arizona"" href=""{CCM:CID_213}"">Arizona solar</a> homeowners, as well as by American Solar Electric partners. After listening to everyone's testimonies and seeing the home solar installations himself, he knew going solar with ASE and Sunrun was the way to go. He continues to stay involved by monitoring his Sunrun and APS meter very closely.</span></p>","<a href=""http://www.arizonasolarenergy.org/"">AZ Solar Energy Association</a>
<a href=""http://www.azsolarcenter.org/"">AZ Solar Center</a>
<a href=""http://www.azenergy.gov/Renewable/Default.aspx"">AZ Energy Office</a>
<a href=""https://www.uesaz.com/renewable/home/pv/"">UES Residential Electric Home Programs</a>","Arizona solar incentives are available to homeowners who install photovoltaic systems. However, the funding for these incentives are quickly depleting. Now is the best time to take advantage of the existing incentives and upgrade to home solar. Many Arizona solar rebates are administered by individual utility companies. See if Sunrun works with my AZ utility."
8/11/2013 21:28,Tucson Arizona Solar,/solar-by-state/az/tucson-arizona-solar,Tuscon Solar for Your Home,"Solar power in Tuscon, AZ is easier and more affordable than ever with Sunrun solar leasing.","tucson solar, tucson solar panels, solar panels tucson, tucson solar power, tucson solar companies",Solar energy savings are heating up sun kissed Tucson.,Find out how 300 days of sunshine each year can lower your electric bills.,"Home solar in Tuscon, Arizona","Going solar in Tucson makes a lot of sense - Arizona has an established solar rebate program and the city of Tucson gets a lot of sun. That's why so many homeowners in Tucson are turning to the sun to power their homes. By installing solar panels, residents are taking control of their electric rates and saving money on their electric bills.",John's Story,"<p><span>John has been living in Tuscon since 1968. He'd been watching solar power in his neighborhood for quite some time, but the high price of purchasing a system had always been an issue. But as the cost of solar panels continued to decrease, John knew it was time to seriously consider solar power. </span></p>
<p><span>He called a friend who worked for Sunrun to learn more about how Sunrun works. He'd considered several other companies before but when he looked at Sunrun and its solar power service plan, he decided to choose Sunrun. With Sunrun, he didn't have to pay for the solar panels himself. Sunrun purchased and owns the solar system; John pays Sunrun for solar electricity. Since John had some money saved, he decided to prepay for his solar electricity in advance, so he could skip monthly bills for 20 years. </span></p>
<p><span>Now, John pays $8 per month for his electricity and keeps a personal chart of his daily electricity usage and generation. He often invites friends over to come look at the system. ""I appreciate the system,"" said John.</span></p>","<a href=""http://www.arizonasolarenergy.org/"">AZ Solar Energy Association</a>
<a href=""http://www.azsolarcenter.org/"">AZ Solar Center</a>
<a href=""http://www.azenergy.gov/Renewable/Default.aspx"">AZ Energy Office</a>
<a href=""https://www.uesaz.com/renewable/home/pv/"">UES Residential Electric Home Programs</a>","Arizona solar incentives are available to homeowners who install photovoltaic systems. However, the funding for these incentives are quickly depleting. Now is the best time to take advantage of the existing incentives and upgrade to home solar. Many Arizona solar rebates are administered by individual utility companies. See if Sunrun works with my AZ utility."
2/20/2015 0:44,Bakersfield California Solar,/solar-by-state/ca/bakersfield-california-solar,Bakersfield CA Solar Company,"With its long hot summers and brief winters, Bakersfield, CA is one of the sunniest cities in the U.S. Going solar with Sunrun in Bakersfield simply makes sense.
","bakersfield solar, solar in bakersfield, bakersfield solar power",Things are looking bright for solar in Bakersfield.,Find out how easy it is to go solar with Sunrun and save on your electric bills.,"Home solar in Bakersfield, California","Solar power is growing quickly in Bakersfield. It was recently ranked the third best city for solar power in California. With many rooftops and even more sun, Bakersfield has a lot of potential for solar energy. Homeowners are turning to solar to power their homes, lock in their electric rates, and save on their electric bills.",John's Story,"<p>Tired of high utility bills, John took control of his electric bill with solar power.</p>
<p>John was tired of paying higher utility bills each summer to cool his home.Bakersfield got a lot of sun during the summer and that often meant extremely high power bills for air conditioning. But, John also knew that abundant sunshine meant great solar production. Realizing that a home solar system could help reduce his family's energy costs, John started investigating his options for photovoltaic power.</p>
<p>He quickly learned that going solar with Sunrun would provide John with long-term savings on his power bills for years to come. With<a title=""Home"" href=""{CCM:CID_1}""> Sunrun Solar Service</a>, John went solar for a low upfront cost and skipped the traditionally high cost of purchasing a system himself. </p>
<p>He found his solar installation seamless and Sunrun's billing process as easy as opening an email and writing a monthly check. When John wants to check on how his system is doing, he simply logs in to his online account and checks his production data. </p>
<p>Now, John's friends are also looking into clean energy with Sunrun, too!</p>
<div class=""fb-like fb_edge_widget_with_comment fb_iframe_widget"" data-send=""false"" data-layout=""button_count"" data-width=""450"" data-show-faces=""false"" data-font=""arial""><span style=""height: 21px; width: 73px;""><br /></span></div>","<a href=""http://www.gosolarcalifornia.ca.gov/csi/index.php"">California Solar Initiative</a>
<a href=""http://www.environmentcalifornia.org/programs/million-solar-roofs"">Million Solar Roofs</a>
<a href=""http://www.pge.com/myhome/saveenergymoney/solarenergy/solareducation/"">PG&amp;E PV Workshops &amp; Classes</a></td>
</tr>
<tr>
<td><a href=""http://www.sdge.com/clean-energy/going-solar/are-you-ready-solar"">SDGEﾒs PV Basics</a>
<a href=""https://www.ladwp.com/ladwp/faces/ladwp/residential/r-gogreen/r-gg-installsolar?_afrLoop=341981879685000&amp;_afrWindowMode=0&amp;_afrWindowId=null#%40%3F_afrWindowId%3Dnull%26_afrLoop%3D341981879685000%26_afrWindowMode%3D0%26_adf.ctrl-state%3Dhpzcwmrh0_42"">LADWPﾒs PV Basicsﾠ</a>
<a href=""https://www.sce.com/wps/portal/home/residential/rebates-savings/solar/!ut/p/b1/hc7BCoJAGATgJ4qd3cVNj78g6y-ibUrZXsRDhJDaIXr-NvAW2dwGvoERXnTCz8NrvA3PcZmH-6d708vYUs4N2GYRgVMkbVQafSATwCUA_Ajh3_4s_BZxUn-B416Bi1NW1qlUiNUKEossL-oAWqfB2qFqiDRgVrBxssqX6SoeU4eRd_QGb2TORw!!/dl4/d5/L2dBISEvZ0FBIS9nQSEh/"">SCEﾒs Net Energy Metering FAQs</a>","California has an extensive history of supporting solar power through its policies and incentive programs. California utility companies charge for electricity in tiers. This means that the more energy you use in your home, the higher your rate will be. With tiered electric rates, it's difficult to avoid high power bills, especially in the summer months.

With Sunrun, you can offset part of the electricity you use from your utility company with affordable solar electricity in California from Sunrun. This way, you avoid the utility company's highest rates for electricity. See if Sunrun works with your CA utility."
