"Client_ID","Category_ID","Category_Name","Parent_Category_ID",
60378103,100,"Miscellaneous Pages",,^.*
60378103,200,"Story",,
60378103,201,"Alacarte Story",200,"^acl\/.*"
60378103,202,"Free Story",200,"^content\/.*"
60378103,203,"Subscription Story",200,"^premium\/.*"
60378103,300,"Info Page",,
60378103,301,"Product Info Page",300,"^product-info\/.*"
60378103,400,"Story List",,
60378103,401,"Subscription List",400,"^subscription_articles\/.*"
60378103,402,"Frontpage List",400,"^sector\/.*"
60378103,403,"Taxonomy Listing",400,"^taxonomy\/.*"
60378103,500,"Search",,
