"PRODUCT NUMBER MANIFEST",,,"(Unofficial version, 10 August 2006)",,,,,,,,,
,,,,,,,,,,,,
"Product No.","Product Name",,,"Legacy Code",,,,,,,,
10000,,,,"00000000",,,,,,,,
10001,"Main Wire (legacy code)",,,"A0000000",,,,,,,,
10002,"Fixed Income",,,"P=MNBP00",,,,,,,,
10003,"Main Wire Headline Feed",,,"HEADLINE",,,,,,,,
10004,"Foreign Exchange",,,"P=MNFX00",,,,,,,,
10005,"Reuters Product Code",,,"REUTERS0",,,,,,,,
10006,"Main Wire",,,"P=MNS000",,,,,,,,
10007,"Bloomberg Product Code",,,"P=BLOOMB",,,,,,,,
10008,"US Data (legacy code)",,,"USDATA00",,,,,,,,
10009,"Main Wire (Europe)",,,"P=MNSE00",,,,,,,,
10010,"Instant Data",,,"P=IDP000",,,,,,,,
10011,"TRIARCH",,,"2207....",,,,,,,,
10012,"MND",,,"2205....",,,,,,,,
10013,"PC2s",,,"2201....",,,,,,,,
10014,"TRIARCH/MND/PC2",,,"220.....",,,,,,,,
10015,"Web site (Defunct)",,,"WEB00000",,,,,,,,
10016,"Beckner Report",,,"P=MNBECK",,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
20000,"Fixed Income Bullet Points",,,"F=BULLET",,"<topic human=""Fixed Income Bullet Points"" code=""F=BULLET"" num=""20000"" />",,,,,,
20001,"Foreign Exchange Bullet Points",,,"F=BULLEF",,"<topic human=""Foreign Exchange Bullet Points"" code=""F=BULLEF"" num=""20001"" />",,,,,,
20002,"US Credit Pipeline",,,"F=BULWC1",,"<topic human=""US Credit Pipeline"" code=""F=BULWC1"" num=""20002"" />",,,,,,
20003,,,,"F=FXDOLU",,"<topic human="""" code=""F=FXDOLU"" num=""20003"" />",,,,,,
20004,,,,"F=USTSYU",,"<topic human="""" code=""F=USTSYU"" num=""20004"" />",,,,,,
20005,"Key FX Levels",,,"F=FXPAIR",,"<topic human=""Key FX Levels"" code=""F=FXPAIR"" num=""20005"" />",,,,,,
20006,"FI Market Glance",,,"F=BULMKT",,"<topic human=""FI Market Glance"" code=""F=BULMKT"" num=""20006"" />",,,,,,
20007,,,,"F=SEREP1",,"<topic human="""" code=""F=SEREP1"" num=""20007"" />",,,,,,
20008,"World News Roundup",,,"F=EUMORN",,"<topic human=""World News Roundup"" code=""F=EUMORN"" num=""20008"" />",,,,,,
20009,"US Treasury Options Volatilities",,,"F=BULWC4",,"<topic human=""US Treasury Options Volatilities"" code=""F=BULWC4"" num=""20009"" />",,,,,,
20010,,,,"F=SEREPM",,"<topic human="""" code=""F=SEREPM"" num=""20010"" />",,,,,,
20011,"Europe Bond Technicals",,,"F=EUTECH",,"<topic human=""Europe Bond Technicals"" code=""F=EUTECH"" num=""20011"" />",,,,,,
20012,"US Agency Spreads",,,"F=BULIDE",,"<topic human=""US Agency Spreads"" code=""F=BULIDE"" num=""20012"" />",,,,,,
20013,"Global Calendar",,,"F=GBLCAL",,"<topic human=""Global Calendar"" code=""F=GBLCAL"" num=""20013"" />",,,,,,
20014,,,,"F=CALGBL",,"<topic human="""" code=""F=CALGBL"" num=""20014"" />",,,,,,
20015,"US Markets Calendar",,,"F=BULDEX",,"<topic human=""US Markets Calendar"" code=""F=BULDEX"" num=""20015"" />",,,,,,
20016,"Credit Market Focus",,,"F=BULF10",,"<topic human=""Credit Market Focus"" code=""F=BULF10"" num=""20016"" />",,,,,,
20017,,,,"F=USXCAL",,"<topic human="""" code=""F=USXCAL"" num=""20017"" />",,,,,,
20018,,,,"F=USICAL",,"<topic human="""" code=""F=USICAL"" num=""20018"" />",,,,,,
20019,"US Events Calendar",,,"F=USACAL",,"<topic human=""US Events Calendar"" code=""F=USACAL"" num=""20019"" />",,,,,,
20020,"Mergers and Acquisitions",,,"F=MERGER",,"<topic human=""Mergers and Acquisitions"" code=""F=MERGER"" num=""20020"" />",,,,,,
20021,,,,"F=USBCAL",,"<topic human="""" code=""F=USBCAL"" num=""20021"" />",,,,,,
20022,"US Bond Technicals",,,"F=BULTEC",,"<topic human=""US Bond Technicals"" code=""F=BULTEC"" num=""20022"" />",,,,,,
20023,"US Treasury/Agency Auction Calendar",,,"F=TSYCAL",,"<topic human=""US Treasury/Agency Auction Calendar"" code=""F=TSYCAL"" num=""20023"" />",,,,,,
20024,,,,"F=TSXCAL",,"<topic human="""" code=""F=TSXCAL"" num=""20024"" />",,,,,,
20025,,,,"F=TSICAL",,"<topic human="""" code=""F=TSICAL"" num=""20025"" />",,,,,,
20026,,,,"F=PREREL",,"<topic human="""" code=""F=PREREL"" num=""20026"" />",,,,,,
20027,"US Key Indicators Summary",,,"F=6MRUSD",,"<topic human=""US Key Indicators Summary"" code=""F=6MRUSD"" num=""20027"" />",,,,,,
20028,,,,"F=FXEURU",,"<topic human="""" code=""F=FXEURU"" num=""20028"" />",,,,,,
20029,,,,"F=USXCOR",,"<topic human="""" code=""F=USXCOR"" num=""20029"" />",,,,,,
20030,,,,"F=USICOR",,"<topic human="""" code=""F=USICOR"" num=""20030"" />",,,,,,
20031,"US Data Calendar",,,"F=USECOR",,"<topic human=""US Data Calendar"" code=""F=USECOR"" num=""20031"" />",,,,,,
20032,,,,"F=EXECAL",,"<topic human="""" code=""F=EXECAL"" num=""20032"" />",,,,,,
20033,,,,"F=EUICAL",,"<topic human="""" code=""F=EUICAL"" num=""20033"" />",,,,,,
20034,"Europe Calendar",,,"F=EUECAL",,"<topic human=""Europe Calendar"" code=""F=EUECAL"" num=""20034"" />",,,,,,
